Page,Item,Title,Date
17,6,"홍천 산림자원 활용, 국내 1호 임도 적극 활용해야",2024/09/07
17,7,"고창군, 2024 대한민국 책읽는 지자체 대상 수상",2024/09/06
17,8,"홍천, 농민 생존권 보장 요구 집회 열려",2024/09/06
17,9,"홍천군의회, 청년마을 ‘와썹타운’ 방문",2024/09/06
17,10,"고창군, ‘2024 대한민국 책읽는 지자체 대상’ 수상...전국서 찾는 도서관 성지로 만든다",2024/09/06
18,1,홍천군 농특산품 판매 업체 대한민국 명품특산물 박람회 참가,2024/09/06
18,2,"홍천군보건소 치매안심센터, 치매환자 가족지원「헤아림 가족교실」운영",2024/09/06
18,3,"홍천군, 우수 농특산물 박람회 첫날부터 판매 대박",2024/09/06
18,4,"고창군, ‘2024 대한민국 책읽는 지자체 대상’ 수상",2024/09/06
18,5,홍천한우 제49회 강원축산경진대회 종합 우수상 수상,2024/09/06
18,6,"신영재 홍천군수, 제17회 홍천군 장애인 IT 활용대회 참석",2024/09/06
18,7,"홍천군, 2024년 제2회 전국 국악동아리 경연대회 신청 접수",2024/09/06
18,8,"홍천군, 추석 대비 다중이용시설 안전 점검 실시",2024/09/06
18,9,"홍천군, 제49회 강원축산경진대회 종합 우수상 수상",2024/09/06
18,10,[뉴스 플러스+] 주민 40년째 희생 강요… 대체부지 물색 한시가 급하다,2024/09/06
19,1,[이슈현장] 홍천군의회 원구성 갈등에 지역현안 차질,2024/09/06
19,2,전세 사기 상담 창구 찾은 피해자 절반은 ‘20·30대’,2024/09/06
19,3,강원축산경진대회 최우수 ‘양양군’ 수상,2024/09/05
19,4,골프장에서 즐기는 특별한 한가위,2024/09/05
19,5,[의정소식] 홍천군의회 2024년9월5일,2024/09/05
19,6,홍천군보건소 아동·청소년 비만 예방 프로그램 운영,2024/09/05
19,7,"강원자치도, 2024년 제49회 강원축산경진대회 성료",2024/09/05
19,8,"홍천군, 강원 문해 자랑 대잔치 ‘청춘만개’ 공동개최",2024/09/05
19,9,"홍천군, 근로자 관리를 위한 노동관계법 교육",2024/09/05
19,10,"홍천군보건소, 아동·청소년 비만예방 프로그램「I CAN」운영",2024/09/05
20,1,"신영재 홍천군수, 제12회 한국여성농업인 강원자치도대회 참석",2024/09/05
20,2,"고용노동부 강원지청, 민관산학정 '강원 일자리 혁신 협의체' 출범",2024/09/05
20,3,"""강원도내 기업-근로자 미스매칭 우선 해결해야""",2024/09/05
20,4,악성 민원인 피해 속출…홍천군 전국 최초 ‘인공지능 CCTV’ 구축,2024/09/05
20,5,‘찾아가는 전세사기 상담’ 내일 홍천에서 열려,2024/09/04
20,6,[동정] 신영재 홍천군수,2024/09/04
20,7,"김재국 이천시의원 ""전입지원금제 도입과 전담부서 신설 시급""",2024/09/04
20,8,[포토뉴스] 홍천 서면 제23회 면민 한마음 대회 개최,2024/09/04
20,9,[포토뉴스] 홍천 노인일자리 및 사회활동 지원 사업 문화활동,2024/09/04
20,10,홍천항체클러스터 입주 ‘펩토이드’ 26억원 규모 정부 R&D사업 수주,2024/09/04
21,1,"김재국 이천시의원, ""적극적 인구유입 정책 필요"" 강조",2024/09/04
21,2,"신영재 홍천군수, 제19회 한국후계농업경영인 전국대회 참석",2024/09/04
21,3,홍천서도 다가구주택 보증금 미반환 발생 … 5일 상담 창구 운영,2024/09/04
21,4,[포토뉴스] 홍천군 자율방재단 온열질환 예방 활동,2024/09/04
21,5,"“새 주인 찾습니다” 홍천군, 불용 농기계 매각",2024/09/04
21,6,"강원대 의대 교수진 ""의대 증원, 개혁 아닌 개악""",2024/09/04
21,7,"홍천군, 2024년 공무원 대상 인구교육 실시",2024/09/04
21,8,"홍천군, 농업기계임대사업소 불용농기계 11종 17대 매각",2024/09/04
21,9,"홍천군농업기술센터, 벼 채종 단지 우량종자 생산 지원사업 현장 평가회",2024/09/04
21,10,"홍천군, 농업기계임대사업소 불용농기계 매각",2024/09/04
22,1,"홍천군 자율방재단, 폭염 대비 온열질환 예방 안전 예찰",2024/09/04
22,2,홍천국가항체클러스터 입주기업 10곳 추가 유치 나선다,2024/09/04
22,3,"박서현, KBS배 전국리듬체조 중등부 4관왕",2024/09/04
22,4,"강원대병원 응급실 진료제한(9.2~,) 군의관 긴급파견(9.4~)",2024/09/03
22,5,언어 장벽 없앤 홍천 무인민원발급기 ‘호평’,2024/09/03
22,6,"홍천군, 2024년 2차 부패 방지 및 청렴 교육실시",2024/09/03
22,7,"[기업] 청년재단, 강원연구원과 함께 '강원형 청년정책을 찾자' 포럼 개최",2024/09/03
22,8,강원관광재단 <평일의 山타를 찾아라 in 홍천> 성료,2024/09/03
22,9,[포토뉴스] 홍천 남산서 ‘강원 20대 명산 등반 행사’,2024/09/03
22,10,"춘천시, 동산면 조양리 ‘농촌생활용수 개발’ 주민불편 해소",2024/09/03
23,1,‘뉴펜져스 총출동’...펜싱 국가대표 선발대회 3일부터 개최,2024/09/03
23,2,"홍천군, 2024년 민원처리 우수사례 공감콘서트 우수상 수상",2024/09/03
23,3,홍천 펩토이드 26억 규모 정부 R&D 사업 수주,2024/09/03
23,4,"홍천군, 2024년 민원처리 우수사례 공감콘서트 ‘우수상’ 수상",2024/09/03
23,5,"강원자치도, ‘찾아가는 전세사기 법률상담 무료 지원창구’ 운영",2024/09/03
23,6,"(주)펩토이드, 정부 R&D 사업 ‘26억원 규모’ 수주",2024/09/03
23,7,"""정준영 봤다, 조심해"" 프랑스 파리에서 또 목격담",2024/09/03
23,8,홍천 '장풍이체험학교' 치유농업 서비스 제공기관 지정,2024/09/03
23,9,‘AI역량강화’ 홍천군 청년 리더 교육생 모집,2024/09/02
23,10,장풍이체험학교 강원도 1호 사회서비스 제공기관 지정,2024/09/02
24,1,"신영재 홍천군수, 다시신장 카페 ‘꽃신’장식 참석",2024/09/02
24,2,"홍천군, 수소 충전소 운영 사업자 공개 모집",2024/09/02
24,3,"홍천군, 수소충전소 사업자 공모…이달 4일 시작",2024/09/02
24,4,[포토뉴스] 한국국악협회 홍천군지부 하계 워크숍,2024/09/02
24,5,[포토뉴스] NH농협 홍천군지부 쌀 소비촉진 캠페인,2024/09/02
24,6,[포토뉴스] 중소기업융합 홍천융합회 합동 교례회,2024/09/02
24,7,"홍천군, ‘홍천 배시시 축제’ 성료",2024/09/02
24,8,"홍천군, 2024년 청년 리더 교육 참가자 모집",2024/09/02
24,9,"홍천군, 광역철도 유치 염원 ‘조형물·벽화’ 추진",2024/09/02
24,10,‘바이오가스 의무화’ 초읽기…가스 생산 ‘발등의 불’,2024/09/02
25,1,돌봄드림 ‘스마트조끼’로 불안함을 잡는다,2024/09/02
25,2,"홍천군청소년수련관, 2024년 ‘홍천군청소년오케스트라’ 하루집중캠프 성료",2024/09/02
25,3,‘바이오가스 의무화’ 초읽기…가스 생산 ‘발등의 불’,2024/09/02
25,4,"민주평통 홍천군협 항일 유적지 탐방 ""애국지사 정신 계승""",2024/09/02
25,5,민병하 홍천농고 교장 교직 생활 마무리,2024/09/02
25,6,홍천-베트남 ‘인삼 상품 개발·계절 근로자 확대’ 맞손,2024/09/02
25,7,‘바이오가스 의무화’ 초읽기…가스 생산 ‘발등의 불’,2024/09/01
25,8,홍천 추석 전 햅쌀 출하 … 명품 ‘진옥’ 첫 수확,2024/09/01
25,9,홍천군의회 2일 임시회 개회 … 의장 임기 제한 여부 놓고 충돌하나,2024/09/01
25,10,민원처리 우수사례 경진대회 ‘2024 공감콘서트’,2024/09/01
26,1,[포토뉴스] 제5대 홍천군 청소년 의회 해단식,2024/09/01
26,2,‘추석맞이’ 서울 곳곳 직거래장터 만나보세요,2024/08/31
26,3,[생생우동]올 추석 더 커진 자치구 직거래 장터,2024/08/30
26,4,"강원자치도, 민원처리 우수사례 발표 ‘2024 공감콘서트’ 개최",2024/08/30
26,5,홍천군 추석 햅쌀용 고품질 조생종벼 본격 수확,2024/08/30
26,6,'응급실에서 의료진에게 욕설·난동' 40대 항소심 죗값 늘어,2024/08/30
26,7,"홍천군보건소, 제19회『임산부의 날』기념 준비",2024/08/30
26,8,"홍천군, 부호(Vu Ho) ‘주한 베트남 대사’ 내방",2024/08/30
26,9,"홍천군의회 박영록 의장, ‘고품종 조생종벼 재배단지 수확 행사’ 참석",2024/08/30
26,10,응급실서 의료진에 욕설… 진료방해 40대 항소심서 형량 늘어,2024/08/30
27,1,"""내가 잘못했냐?""…응급실서 난동 피운 40대, 억울하다 했지만",2024/08/30
27,2,"""우리집 댕댕이 데리고 라운딩 간다""…골프족 '깜짝 소식' [이미경의 인사이트]",2024/08/30
27,3,"김진태 지사, 홍천·횡성·영월 3개군 번영회장 접견",2024/08/30
27,4,홍천 무궁화수목원 야간 경관조명 설치...9월2일부터 점등,2024/08/30
27,5,"홍천군, 수소충전소 설치부지 및 운영사업자 모집",2024/08/30
27,6,홍천군 가족센터 부모자녀 함께하는 프로그램 '호평',2024/08/30
27,7,'강원의 산과 바다 이야기' 노인대학장 강의·좌담회,2024/08/30
27,8,집밥같은 편안함·3대째 변함없는 맛… 손님도 대 잇는다,2024/08/30
27,9,홍천 도시재생 1순위 지역 ‘신장대리’ 활성화 계획 변경,2024/08/30
27,10,[동정]한종원 한국국악협회 홍천군지부장,2024/08/29
28,1,"홍천군의회, 제5대 청소년의회 본회의 및 해단식",2024/08/29
28,2,"홍천군, 전기차 화재 예방 매뉴얼 공동주택에 보급",2024/08/29
28,3,빠듯한 살림...추석 성수품 직거래 장터서 준비,2024/08/29
28,4,"홍천군,『자기혈관 숫자알기 레드서클』캠페인 실시",2024/08/29
28,5,"홍천군, 전기자동차 화재 선제적 대응 나선다",2024/08/29
28,6,"홍천군, 고품질 조생종벼 재배단지 ‘추석 햅쌀용 벼’ 본격 수확",2024/08/29
28,7,"육군 11기동사단, 9월2일부터 양평·여주서 지상협동훈련",2024/08/29
28,8,[자막뉴스] 밧줄 풀린 보트 잡으려다가...홍천 저수지서 작업하던 형제 참변,2024/08/29
28,9,한전 사장 “나도 변전소 위 근무”… 전력망 협조 호소,2024/08/29
28,10,"홍천군립도서관, 9월 ‘독서의 달’ 맞이 행사 운영",2024/08/29
